filepath,Category
Dataset/preproses/feature_extract/Drowsy/face-0075_jpg.rf.2617d4a18365b9134235638787091ee0.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/Training_98674285_jpg.rf.613669feb614c450ea529a8b0bcd7d83.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_96825126_jpg.rf.6be22def2f7274d3fed113ddc95051af.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_95927170_jpg.rf.f2fae254f74b4388f115becd7ad7ebd9.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0032_jpg.rf.8557228d56b3e71be22b612e22fddc04.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0113_jpg.rf.7c73c5678a8e9c40d935c50fccdd8b0b.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0104_jpg.rf.ffa523160a315d6a313a815da2f8497a.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0049_jpg.rf.e99f62af57fcfb7db9934b5bf7432bf1.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/Training_23139059_jpg.rf.8d8f6c533796ea34dee7e6825a9d8178.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/thereal23_jpg.rf.482eac200ab5cf3fcbe878592bc4258f.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/real-33-_png.rf.96aa3b59abd4d280134969aec76a1bfd.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0122_jpg.rf.ad826c1862813cd441c3b65a9588904b.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0146_jpg.rf.55dea681925ed9c1e6727ef185c75783.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0038_jpg.rf.9bcf01220893da9bccfb415c3696c615.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0084_jpg.rf.abd6a3f03d2101d76ac1a1a2fc418d88.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/real-66-_png.rf.c9ec606a0b74643a6af36a4106fb08ab.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0012_jpg.rf.74bb3ea313d391aa02a3aebe86ae3cda.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0003_jpg.rf.fd8c0ede7bb241d19c4131aabefcd0f8.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/Training_23393516_jpg.rf.e3d4213582bfcfb104e54f5cb4a9cfe6.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/real-72-_png.rf.605866bc19d64618e9531c6b02cea899.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_22868101_jpg.rf.65618e552dbb98007b80d32dad1dcd40.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0006_jpg.rf.7229babd07e71717da4abd5d875bed8c.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0112_jpg.rf.c70d22aa00811ffce3d12f5f8c945043.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/1-395-_jpg.rf.dc886c33a8fe9ec07087bfbe230af2ca.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0008_jpg.rf.15f5097b84bf01c656d66e4b6b0d5aab.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0139_jpg.rf.766660149621bceac8fa518dd4f5d01c.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0119_jpg.rf.ad23d8699d91ad5f1aa98be2a1c95b1d.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0019_jpg.rf.881865fb3b11ff689858a090d45ec9e6.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0035_jpg.rf.a4ae26a8bc5ac8505d32cff8cff70053.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/Training_99334821_jpg.rf.7da695f855bd1c93853f11e7e2423f53.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0054_jpg.rf.5006099851bd03a8d40839e4f7e9943c.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/Training_97808527_jpg.rf.7b1f33fec07b9817f035543f4dc0b9f6.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_99504759_jpg.rf.fceb8c8303957cd9408f254ba2e9777a.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0113_jpg.rf.5a42f47ead4903f8b508e61a0aac5e28.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/new_real-32-_jpg.rf.11937f04c3bb2983f856f81fe7a9bd50.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0041_jpg.rf.969a24a49529c0c11b1525e19cffb884.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/Training_97372968_jpg.rf.36111f582236b34c98947be06505a6a1.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_96207763_jpg.rf.c5719e6c975f401d402d4d43cc1dd6a5.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0100_jpg.rf.7f2afce51d061f1fd6d6119ba2627887.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/real-13-_png.rf.3c2255521c96535959691a27efe4f0fa.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/real-36-_png.rf.7b87c41f16846e0eeb1287cd32486a38.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0061_jpg.rf.31b850b7215625bbbbf78718abe56d21.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0060_jpg.rf.00fd545244c55239531c74b7d2a3adeb.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/Training_97004687_jpg.rf.2a8628cf4957c6b1ca7286e2a9c03574.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0066_jpg.rf.e85d4703c2dbe26590c746db43dc6e53.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/Training_96429554_jpg.rf.9e66aae642d2f86afcac5e660d597017.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/andr_video_9_frame50_jpg.rf.534d0acc19dbe6735d539036e0b93d91.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0080_jpg.rf.51c7fcb8d97f3e1a9a393e5184d3ae01.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/Training_21632717_jpg.rf.6381adcd2353de2194617d8ea82ff201.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/new_real-57-_jpg.rf.73a179e0a87eef85de98a101f74082ec.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/new_real-52-_jpg.rf.8c545a149ae8cf3da240a011d4e5f60f.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/PrivateTest_14596578_jpg.rf.5942bbb5831aa31b707bdb44eb3dfb44.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/andr_video_12_frame38_jpg.rf.b1b20e296a828d1f7c1a09863d0e7e8c.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_93249721_jpg.rf.087529b7dd9353328a2d00a7a1d369bf.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/ios_video_12_frame27_jpg.rf.e869016f5b4e95e0085a7f98feacc238.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_98900042_jpg.rf.caa21ed5fa40dfc73fb4f820b053ef53.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0036_jpg.rf.9cceea87ed7b470ba5ce4e77d9d73f72.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0028_jpg.rf.99a565aa705331aef0669b610a502488.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0028_jpg.rf.728ebd779fa1c03015addc2b4fe2fe8e.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/Training_23772184_jpg.rf.40ac2f418838b65515ed05dff5dd6fd8.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_22686832_jpg.rf.02934007102123b887b55882577fb6d1.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/real-32-_png.rf.c18ae3bf28d0160649130a2078ca452b.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0121_jpg.rf.c552f5f2a7c8eee84a9d25d26758669e.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/Training_99266316_jpg.rf.f5eb2ac4dc5084bb716e41bbf41fe555.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/andr_video_12_frame36_jpg.rf.2f52ad32311b39e703471d63ee8dd797.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_98958507_jpg.rf.7b59009d98c3ab9ba4b29125d6ed1cb0.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/new_real-48-_jpg.rf.9811040cab0e928b63299e77167919c4.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0007_jpg.rf.546391b31c58c022feb9ea062daabf9a.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0115_jpg.rf.ac483b09dd6c535ab8d9806bc8dfdf6a.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/Training_95953927_jpg.rf.2fcf19980be4abe09d48bf63e3457b67.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_96667335_jpg.rf.4f37cd06bceaa823874f43f32975bbb3.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_95323574_jpg.rf.dd6993b065c9b91e6353e3c8bd049064.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0098_jpg.rf.de0fea0bc361734c84c974efff151a21.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0017_jpg.rf.9e43c3769a2e90187b0b00ef1eee4631.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0037_jpg.rf.5d375116e8fede33139b2ea34fe9d26e.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/Training_23333178_jpg.rf.6f493239f8c68aa7a7425180968d676c.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_97056113_jpg.rf.33ea7eff5157eb92876bb630ddf3d81d.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0114_jpg.rf.cdab0614ca0b4b90c8c55710c818423a.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/real-31-_png.rf.4921e89c61359d9bcf76a776745865f7.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/andr_video_18_frame47_jpg.rf.af1d6d4d9ff979f3782da759e1a7b7b0.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0047_jpg.rf.c300e612abf99d60bb013432dc274c7c.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0055_jpg.rf.fc6b6c21c19ae6589f787c1499d737a4.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0057_jpg.rf.649a312ad0a325e589a05507306e366f.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/thereal20_jpg.rf.6b91dedc4465fc402acbe8ae83801248.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_97062053_jpg.rf.86be9804b08a594851b049b469046243.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_97467364_jpg.rf.1a3fa632059586659a8812d0793c1f3f.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_23537726_jpg.rf.9f31f0a5dacf28f845caa7c9f6cbe574.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/andr_video_8_frame25_jpg.rf.48d076abe052ed787eb82df29e05bb1e.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/andr_video_2_frame107_jpg.rf.3b13c6e3ce0da6e2bfa10431d93faf1b.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_97091455_jpg.rf.b2802781a99d88d4c325cde002ee1c68.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_97081766_jpg.rf.b60e6869496f475f4008dd846e8de4b8.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0124_jpg.rf.af23702db29dc66918a751c31600475a.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/Training_24349875_jpg.rf.d7599fc8c6dda940276219a68b6c5fb4.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0002_jpg.rf.592f9f8874eb8bc9b204c7f59c466107.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/real-91-_png.rf.6e25a9acac09b2849275c117408f9669.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_97876144_jpg.rf.9085286abc37d2cb574624db94bc7af7.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0130_jpg.rf.eff40e6d5d3d3d29edbc0e5079852ac2.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/real-39-_png.rf.ff7da409ed5a57abd7c2ea387220ee04.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0009_jpg.rf.f96df743a7c5a3e277be799e9ee17bdc.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0077_jpg.rf.782cfd75662948cc06c1e6a51352ef3b.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/real-70-_png.rf.33941f80182d0af5e544735a67d8923e.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0034_jpg.rf.dfcf37cdb7b36954285fc8e5dc7fcc6d.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/Training_95113504_jpg.rf.93f0733068cfd2e1d799e3bdda6056a0.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0021_jpg.rf.228ea77c7d7eeee52ff6bdbd40c12d1e.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0026_jpg.rf.239718cf3634eea899bf4998c8354cea.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/Training_98086491_jpg.rf.2bf2cb4f5a0540668621bf1965811c84.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_93614183_jpg.rf.60f3dd4e961d3217451626c421d6ea54.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0112_jpg.rf.fc22c4be45f404037d733fc0fd56dc77.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0016_jpg.rf.409b56dbbb516026742b805ab6aa4aba.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0113_jpg.rf.87695f2f08b144576cc522cf5418bb8a.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0076_jpg.rf.00e68798e374884b78c9454968263216.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/Training_94548979_jpg.rf.d350956c7610cca4603435da3a3c7e00.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/andr_video_17_frame4_jpg.rf.5b7dcb98b11e127b294c8ab34bb2a822.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0076_jpg.rf.9f6a9c43832e46c12c46f92b7d984588.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/andr_video_4_frame35_jpg.rf.bb1eeddf3962b7cc59ad020bf6e76a06.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_98644350_jpg.rf.81c4d246c7d55c929b3c36f6859ad26c.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/1-391-_jpg.rf.5fff7b09b980fe552e254aac031f46cd.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/thereal7_png.rf.472eee012aef486596a9cbf8180263f8.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0105_jpg.rf.9195b9ef93cb9a4b3dccfbd6c1fbd3b4.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0168_jpg.rf.64611f138acbcec785e1b5f9cd0f06a3.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/Training_96983999_jpg.rf.be546ce5b3222e1fd408166bf88d4ae4.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/new_real-19-_jpg.rf.6e2914f73b6846c4b707e4be286d07d2.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_99607044_jpg.rf.d23c746e445eacbbf90a027ccf4e1408.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0110_jpg.rf.0628fdca4f246f556870213424d6600a.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0107_jpg.rf.1477bbbfb199331bd619ff958b8ca6f8.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/Training_96029507_jpg.rf.106238d4caf9d3bb052572b0d5e9aa95.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0182_jpg.rf.e12f79ce92bdc7fe6848e5b8f06cbf76.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0081_jpg.rf.9d25bdb9e2d7bb234f516417c26d46fc.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0085_jpg.rf.80927a656ff8fbf2828e453d1b3f99d5.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0018_jpg.rf.3d23ef070a56bba49e41825b60b5c5b9.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/andr_video_21_frame11_jpg.rf.24eb3002cd6b001bb3e4468f2941a48d.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/real-69-_png.rf.59b1e5e2181bbad63d7d480660786d06.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/real-75-_png.rf.4b1c69d6a06295babbb28a512247b7ca.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0135_jpg.rf.a59a1e633f3683a4f046839f0d52bdc5.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/Training_99312377_jpg.rf.a750ecf3ecb7381831b4414453e606ec.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_96739323_jpg.rf.43f35e16f6c21cf20f0491e0e9a13b18.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_97135372_jpg.rf.4088b3e02902fa6dd226cf17c6f47853.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0141_jpg.rf.ebf9cb736694ef3a981f17f46761e06b.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0071_jpg.rf.cd3dfed0c19383ebe36304ed4a9056ab.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0059_jpg.rf.2f0d1084003fb76bb038f6f00ad086d3.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/Training_97696525_jpg.rf.3a4b06f19427ab5c0a01f393a4128836.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_23863204_jpg.rf.6b73323799a2bef2ff3ada500363dd27.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0006_jpg.rf.d47d3a320f3bc4abe6827f2ec1732a24.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0092_jpg.rf.7ec88edd38819cbcdc213be3e323e791.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/Training_22224631_jpg.rf.c2cd1c11b29d8f1dca64dcb081ed9fe2.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/thereal6_png.rf.8ded3a7e12567c17b4d90f045d2fed69.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0163_jpg.rf.131c81c52bc694af962f05d91ebf2a87.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/Training_99889904_jpg.rf.6dbea031b5a7f82c0bd66e37a993492d.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/new_real-50-_jpg.rf.83a947d938294f72e0bb612afdc15786.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_93148238_jpg.rf.880f1d3848f6ce4c56a4c48b5069e161.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_96375215_jpg.rf.07960b586eb63f0568eacb8476966a2d.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_97345253_jpg.rf.4a3a8587dd1c3b6010bd400a7f795f66.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0068_jpg.rf.9c4ee19900e24f470c9515de77d504dd.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0166_jpg.rf.45c64aef11f79f95497e627bb400f875.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0147_jpg.rf.b001adbab9e0da5ea906f0dd50e2d3dc.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/real-19-_png.rf.c1b6f5836fd409c5cebf8c1b0b60c77e.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0017_jpg.rf.5a1420bd047a14690a18549a230aba0b.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0119_jpg.rf.f131ad3f27bcb96d2a8b2690563a59cc.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/andr_video_11_frame69_jpg.rf.732fc62d10df6e9a24501bd1fb9cbc69.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/new_real-18-_jpg.rf.0a6dc56bdbe868d0ff548b98ff47bafc.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/real-93-_png.rf.db2a10a82cb7b19f08523d071c9a5dca.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0036_jpg.rf.ed6890605d9d5c192f11f8e359482201.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/Training_96249610_jpg.rf.a4c9a64774840c5ad934b90b497baa55.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_93758070_jpg.rf.ebeee66e0ea89e237781b21c4dd3b8af.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/real-1-_png.rf.8326257411777ee31503d0a2debd2a03.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0057_jpg.rf.0ab9215b5f6f3ac9c394ceba16d056bc.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0011_jpg.rf.40d0985c8d88d59515f46f18aec4df8f.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/Training_24027041_jpg.rf.7e02fe0114a5df5ad39e309457367370.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_22028428_jpg.rf.8685de66ea181708a0062c044736bd42.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0128_jpg.rf.f3b9770cac0b0b772198fb35b180eb4e.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/Training_98951914_jpg.rf.f8fcba609847745f2df64b4d2e602ea7.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/real-85-_png.rf.24dfea8bcaa37049ebc9c4c8f2bffa5b.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/new_real-9-_jpg.rf.0f2e1485a382816d9a5ed9600141d769.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_94160022_jpg.rf.e5058dc47b22aa3337a8a1d965b61320.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/real-87-_png.rf.d08bf01beedc62f0534b825b3fe736d9.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_92842507_jpg.rf.0b32d4a1002aec0c3427067a53cecdb5.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0010_jpg.rf.d3f29e38dd70f76ea97c91b8eecf2e13.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/new_real-34-_jpg.rf.940726ffb02f85fff368f7b27581cb86.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0154_jpg.rf.502f12042875164df6bff9662b3a7df5.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0058_jpg.rf.24500f73a77814023cd306925c52eafe.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0067_jpg.rf.4b497cc5f60a40e5ebb387805acebe49.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/Training_92945567_jpg.rf.cdc5e5a39a57b09e9c04291f9d7bad42.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_95419401_jpg.rf.0d9c68cee7cf1068e00c6bfd950a58df.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0076_jpg.rf.ed8d13bfbee630e6190e735e8ac62669.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/andr_video_9_frame3_jpg.rf.2fd28181ddb2fc997408fddfb4d83af8.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0111_jpg.rf.3dd7d91d48b053f25e36e59974dc8cea.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/Training_94941922_jpg.rf.354d242797e7e066400709e4de5ebab3.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/real-61-_png.rf.46ec7d9d03e0326b181414fecbbe1a6f.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_93023688_jpg.rf.8e813e6c063509406e8be9ce9581029d.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_95241865_jpg.rf.d1dfcf7947ccca65e9169267e134b6c2.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/real-65-_png.rf.6ef0364aed1476390c6e407d25d9a314.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_24505581_jpg.rf.35d0de31216f4b53d3f8d86308db2eff.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/andr_video_18_frame2_jpg.rf.f9500f33d61af69a97bf35e24916d376.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_95208616_jpg.rf.9b30c998b3d1e20aecc44bb0d8f6bf08.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/new_real-37-_jpg.rf.25f6dbbc7c8076541bba475813744a9e.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/real-58-_png.rf.923676ec9bf76900a9537cf95dedede3.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0098_jpg.rf.0ef320842428197cc3db5ecb197b42f6.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0012_jpg.rf.8946ef9353c17895e262daa3d052bdaa.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0030_jpg.rf.b70d84b8f99fca8fe566064457ae9f67.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/Training_96997789_jpg.rf.440ba043db7e18ed56376a430d673fd4.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/real-78-_png.rf.736a0ac7e0898ac0d48bfdff3810e63c.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/new_real-20-_jpg.rf.16df1ee3da90f9733ace42d0058a7e1f.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_22941956_jpg.rf.0ca4be493f3e9fc2c1a1ca772c877a54.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/real-56-_png.rf.54af1439f25b26f15796414bacdf1fb3.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_97921418_jpg.rf.1333f7a534bb5ac2a1ba802426f400e8.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_92910617_jpg.rf.7df8b4dc386989da25c9776db24a9924.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_22738826_jpg.rf.31b11f970395777574edf93860f8d922.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0022_jpg.rf.dd27ff4d60fe2d16bc2c7e383ce66e56.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/Training_99653264_jpg.rf.905aa3e0214ab3e7da4e4648090ad481.jpg,Neutral
Dataset/preproses/feature_extract/Drowsy/face-0080_jpg.rf.3644d04c2f7b18f7ce3e266445893dc9.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0007_jpg.rf.64bd2d5fc920a5882994812a2e6f1ca6.jpg,Drowsy
Dataset/preproses/feature_extract/Drowsy/face-0095_jpg.rf.5cb5c0cd2fed7f62e6b36ba6965428fe.jpg,Drowsy
Dataset/preproses/feature_extract/Neutral/Training_99139714_jpg.rf.85600b929c11b1acab4c6cc6a87b1b90.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/Training_97392241_jpg.rf.a6488d1a6f9aaa18904873e2960d1688.jpg,Neutral
Dataset/preproses/feature_extract/Neutral/new_real-13-_jpg.rf.c6159f7d09dad6a458889e6b66c1c3aa.jpg,Neutral
